id,lat,long,city
7129300520,47.5112,-122.257,Seattle
6414100192,47.721,-122.319,Seattle
5631500400,47.7379,-122.233,
2487200875,47.5208,-122.393,Seattle
1954400510,47.6168,-122.045,
7237550310,47.6561,-122.005,
1321400060,47.3097,-122.327,
2008000270,47.4095,-122.315,
2414600126,47.5123,-122.337,Seattle
3793500160,47.3684,-122.031,
1736800520,47.6007,-122.145,Bellevue
9212900260,47.69,-122.292,Seattle
114101516,47.7558,-122.229,
6054650070,47.6127,-122.045,
1175000570,47.67,-122.394,Seattle
9297300055,47.5714,-122.375,Seattle
1875500060,47.7277,-121.962,
6865200140,47.6648,-122.343,Seattle
16000397,47.3089,-122.21,
7983200060,47.3343,-122.306,
6300500875,47.7025,-122.341,Seattle
2524049179,47.5316,-122.233,
7137970340,47.3266,-122.169,
8091400200,47.3533,-122.166,
3814700200,47.3739,-122.172,
1202000200,47.3048,-122.218,
1794500383,47.6386,-122.36,Seattle
3303700376,47.6221,-122.314,Seattle
5101402488,47.695,-122.304,Seattle
1873100390,47.7073,-122.11,
8562750320,47.5391,-122.07,
2426039314,47.7274,-122.357,Seattle
461000390,47.6823,-122.368,Seattle
7589200193,47.6889,-122.375,Seattle
7955080270,47.4276,-122.157,
9547205180,47.6827,-122.31,Seattle
9435300030,47.6621,-122.132,
2768000400,47.6702,-122.362,Seattle
7895500070,47.3341,-122.282,
2078500320,47.5301,-122.18,
5547700270,47.6145,-122.027,
7766200013,47.445,-122.347,
7203220400,47.6848,-122.016,
9270200160,47.6413,-122.364,Seattle
1432701230,47.4485,-122.175,
8035350320,47.7443,-121.977,
8945200830,47.3066,-122.371,
4178300310,47.6194,-122.151,Bellevue
9215400105,47.6796,-122.301,Seattle
822039084,47.4041,-122.451,
5245600105,47.4258,-122.322,
7231300125,47.4934,-122.189,
7518505990,47.6808,-122.384,Seattle
3626039271,47.6989,-122.369,Seattle
4217401195,47.6571,-122.281,Seattle
9822700295,47.6597,-122.29,Seattle
9478500640,47.3663,-122.114,
2799800710,47.3663,-122.122,
7922800400,47.588,-122.116,Bellevue
8079040320,47.5059,-122.149,
1516000055,47.4336,-122.339,
9558200045,47.4366,-122.335,
5072410070,47.4428,-122.344,
9528102996,47.6765,-122.32,Seattle
1189001180,47.6113,-122.297,Seattle
3253500160,47.5747,-122.304,Seattle
3394100030,47.5815,-122.192,Bellevue
3717000160,47.3378,-122.257,
1274500060,47.3621,-122.11,
1802000060,47.6303,-122.215,
1525059190,47.6525,-122.16,Bellevue
1049000060,47.7362,-122.179,
8820901275,47.7168,-122.287,Seattle
5416510140,47.3608,-122.036,
3444100400,47.3511,-122.073,
3276920270,47.5822,-121.987,
4036801170,47.6034,-122.125,Bellevue
2391600320,47.5636,-122.394,Seattle
6300000287,47.7073,-122.34,Seattle
1531000030,47.342,-122.025,
5104520400,47.3512,-122.008,
7437100340,47.349,-122.031,
9418400240,47.5474,-122.291,Seattle
1523059105,47.4811,-122.149,
1133000671,47.7264,-122.31,Seattle
4232902595,47.6337,-122.365,Seattle
2599001200,47.2909,-122.189,
3342103156,47.5228,-122.199,
1332700270,47.518,-122.194,
3869900162,47.5394,-122.387,Seattle
2791500270,47.2897,-122.372,
5036300431,47.6506,-122.391,Seattle
4168000060,47.322,-122.351,
6021501535,47.687,-122.386,Seattle
6021501535,47.687,-122.386,Seattle
1483300570,47.5873,-122.249,
3422049190,47.3576,-122.277,
1099611230,47.3036,-122.378,
722079104,47.4109,-121.958,
7338200240,47.4838,-121.714,
1952200240,47.6415,-122.315,Seattle
5200100125,47.6775,-122.372,Seattle
7214720075,47.7731,-122.08,
2450000295,47.5814,-122.196,Bellevue
6197800045,47.4375,-122.184,
1328310370,47.4431,-122.133,
546000875,47.6878,-122.38,Seattle
3530510041,47.3813,-122.322,
1853000400,47.7304,-122.082,
3134100116,47.6417,-122.109,
9545230140,47.5386,-122.053,
3362400511,47.6823,-122.349,Seattle
2525310310,47.3624,-122.031,
6126500060,47.5474,-122.295,Seattle
8961960160,47.3183,-122.253,
3626039325,47.6981,-122.368,Seattle
3362400431,47.6824,-122.347,Seattle
4060000240,47.5009,-122.248,Seattle
3454800060,47.4965,-122.303,
1695900060,47.587,-122.294,Seattle
7278700070,47.7728,-122.386,
6675500070,47.7288,-122.226,
3626039187,47.6999,-122.364,Seattle
3524049083,47.5299,-122.266,Seattle
3275860240,47.6897,-122.098,
4389200955,47.6141,-122.212,Bellevue
4058801670,47.5091,-122.244,Seattle
8732020310,47.3129,-122.39,
2331300505,47.6763,-122.352,Seattle
7853210060,47.5319,-121.85,
3668000070,47.2761,-122.152,
9545240070,47.5343,-122.054,
1243100136,47.697,-122.072,
8929000270,47.5517,-121.998,
2767602356,47.6734,-122.38,Seattle
921049315,47.3257,-122.296,
3655000070,47.3309,-122.299,
4027700812,47.7689,-122.266,
3992700335,47.7135,-122.287,Seattle
2767603505,47.6722,-122.381,Seattle
4232901525,47.6338,-122.358,Seattle
1777500060,47.5707,-122.128,Bellevue
1432900240,47.4563,-122.171,
6140100875,47.7144,-122.351,Seattle
6071600370,47.5495,-122.174,Bellevue
1526069017,47.7421,-122.026,
809001525,47.6354,-122.353,Seattle
3224079105,47.5262,-121.943,
8075400570,47.3887,-122.286,
1994200024,47.6873,-122.336,Seattle
3362900810,47.6838,-122.353,Seattle
1324300398,47.655,-122.359,Seattle
537000445,47.3255,-122.304,
7855801670,47.562,-122.162,Bellevue
7920100045,47.679,-122.3,Seattle
8960000030,47.4479,-122.176,
6388930390,47.525,-122.172,
8731900200,47.3135,-122.369,
8029200135,47.2086,-121.996,
1081200350,47.4715,-122.118,
84000105,47.4877,-122.335,
3756500060,47.7171,-122.193,
7215720160,47.6012,-122.023,
3574800520,47.7319,-122.224,
2617300160,47.4582,-122.023,
2558660270,47.7209,-122.168,
2009000370,47.408,-122.327,
1836980160,47.565,-122.125,Bellevue
3261020370,47.7028,-122.231,
1755700060,47.7458,-122.331,
4330600435,47.4776,-122.337,
9542800700,47.3026,-122.374,
1999700045,47.7658,-122.339,
1762600070,47.6477,-122.182,
1687900520,47.5619,-122.125,Bellevue
7234600798,47.6106,-122.31,Seattle
3881900445,47.5868,-122.308,Seattle
2254502445,47.6101,-122.307,Seattle
5437810320,47.1976,-121.999,
9158100075,47.7224,-122.358,Seattle
3830630310,47.3505,-122.179,
8123100045,47.5384,-122.376,Seattle
3127200041,47.7044,-122.2,
6661200320,47.3848,-122.039,
11510310,47.6993,-122.102,
825059270,47.6627,-122.188,
8731951370,47.3099,-122.379,
1954440060,47.62,-122.043,
2264500350,47.65,-122.34,Seattle
1115810060,47.6647,-122.153,
9477200200,47.726000000000006,-122.191,
1432600560,47.4616,-122.184,
2287000060,47.5505,-122.219,
3663500060,47.7606,-122.336,
3996900125,47.7481,-122.3,
7796450200,47.2779,-122.347,
7549802535,47.5511,-122.312,Seattle
3278600320,47.5488,-122.372,Seattle
2824079053,47.5385,-121.911,
1222069094,47.4058,-121.994,
3542300060,47.5093,-122.184,
2222059065,47.3777,-122.165,
7551300060,47.675,-122.394,Seattle
100600550,47.3025,-122.37,
3211100860,47.4787,-122.158,
3456000310,47.5378,-122.219,
9526600140,47.7073,-122.114,
7465900060,47.5733,-122.381,Seattle
1222000055,47.4604,-122.339,
6300000550,47.7067,-122.343,Seattle
2310030510,47.354,-122.047,
1025049114,47.6647,-122.284,Seattle
8677300550,47.6143,-122.017,
4014400292,47.3185,-122.275,
1102000196,47.5458,-122.268,Seattle
257000138,47.4889,-122.299,
46100204,47.5673,-122.21,
1909600046,47.5133,-122.379,Seattle
1250202145,47.5884,-122.291,Seattle
7611200125,47.7145,-122.367,Seattle
5611500140,47.5836,-122.026,
7138000260,47.398,-122.299,
626059335,47.7663,-122.215,
1922059282,47.3758,-122.217,
705700390,47.3828,-122.023,
7454001200,47.5123,-122.373,Seattle
8682281200,47.7076,-122.013,
7972000200,47.2922,-122.371,
722059070,47.4075,-122.214,
7202340400,47.6794,-122.034,
8096000060,47.4497,-122.375,
2424000060,47.5218,-122.164,
9264902050,47.3103,-122.339,
943100260,47.5687,-121.899,
3677400445,47.5575,-122.303,Seattle
1762600320,47.6489,-122.183,
4058000060,47.3459,-121.95,
7228500560,47.6136,-122.303,Seattle
326069104,47.7641,-122.023,
5152100060,47.3376,-122.324,
3584000310,47.3173,-122.319,
8150100045,47.5308,-122.376,Seattle
1868901275,47.6727,-122.299,Seattle
6131600075,47.3221,-122.216,
9468200125,47.6779,-122.353,Seattle
8029510030,47.3076,-122.395,
2025069065,47.6338,-122.072,
7899800890,47.5218,-122.357,Seattle
3021059276,47.2785,-122.213,
3797001895,47.6846,-122.345,Seattle
3832710960,47.3656,-122.278,
1310430400,47.4369,-122.111,
1422300030,47.4616,-121.711,
1105000588,47.5405,-122.27,Seattle
3830630060,47.3507,-122.178,
5101404898,47.6979,-122.32,Seattle
7972601890,47.5278,-122.345,Seattle
5127001620,47.4756,-122.147,
9407100800,47.4437,-121.772,
1873100060,47.7048,-122.109,
8722101360,47.6362,-122.302,Seattle
8644000060,47.4207,-122.29,
3325069129,47.6154,-122.047,
1400300055,47.5964,-122.299,Seattle
2123039032,47.4683,-122.438,
8078560140,47.4045,-122.171,
3438500192,47.5544,-122.358,Seattle
7974200510,47.6802,-122.29,Seattle
2557000400,47.2988,-122.371,
7960900060,47.6312,-122.223,
4054500390,47.7285,-122.042,
6378500125,47.7107,-122.352,Seattle
1745100140,47.3271,-122.323,
2976800796,47.5053,-122.255,Seattle
4235400186,47.6601,-122.4,Seattle
4215100060,47.4145,-122.166,
9189700045,47.4672,-122.165,
1126049053,47.7618,-122.261,
2022069200,47.3828,-122.071,
9412900055,47.5362,-122.268,Seattle
1722059235,47.3954,-122.206,
6874200960,47.5048,-122.272,
7424700045,47.6166,-122.287,Seattle
7202360350,47.6811,-122.025,
5634500392,47.7486,-122.23,
1509500060,47.3846,-122.169,
7214810350,47.7564,-122.144,
6647200060,47.7198,-122.193,
9552700140,47.5461,-122.151,Bellevue
2200500350,47.5712,-122.143,Bellevue
6113400046,47.4281,-122.343,
6619910140,47.7128,-122.223,
1115450240,47.3341,-122.255,
6073240060,47.5399,-122.181,
9297300045,47.5717,-122.375,Seattle
9510920070,47.5951,-122.017,
5468730030,47.3536,-122.144,
8079030390,47.5084,-122.154,
600000152,47.5586,-122.311,Seattle
1840000030,47.4427,-122.274,
3225069065,47.6053,-122.077,
3260800030,47.3494,-122.301,
2747100024,47.6933,-122.393,Seattle
5104530560,47.3537,-122.0,
4330600350,47.476000000000006,-122.337,
5016001535,47.6239,-122.298,Seattle
7280300196,47.7776,-122.384,
8651520400,47.6459,-122.058,
7171200445,47.6692,-122.297,Seattle
3204800200,47.5376,-122.18,
3416600800,47.601000000000006,-122.294,Seattle
7994700030,47.529,-121.837,
1860600135,47.6345,-122.367,Seattle
4139480200,47.5503,-122.102,Bellevue
4139480200,47.5503,-122.102,Bellevue
1328320800,47.4441,-122.125,
7771300125,47.7357,-122.333,
3422059208,47.346,-122.157,
9521101455,47.6638,-122.345,Seattle
4337000335,47.48,-122.336,
